0000;44;reć:rę:resz:re:remy:recie:rą:ryj:ryjmy:ryjcie:rąc:rący:arłem:arłeś:arł:arłam:arłaś:arła:arłom:arłoś:arło:arliśmy:arliście:arli:arłyśmy:arłyście:arły:arłbym:arłbyś:arłby:arłabym:arłabyś:arłaby:arłobym:arłobyś:arłoby:arlibyśmy:arlibyście:arliby:arłybyśmy:arłybyście:arłyby:arto:arty:;
0001;06;ki:ków:kom:kami:kach:ek:;
0002;43;ić:ię:isz:i:imy:icie:ią::my:cie:iłem:iłeś:ił:iłam:iłaś:iła:iłom:iłoś:iło:iliśmy:iliście:ili:iłyśmy:iłyście:iły:iłbym:iłbyś:iłby:iłabym:iłabyś:iłaby:iłobym:iłobyś:iłoby:ilibyśmy:ilibyście:iliby:iłybyśmy:iłybyście:iłyby:iono:iony:iwszy:;
0003;43;ić:ię:isz:i:imy:icie:ią::my:cie:iłem:iłeś:ił:iłam:iłaś:iła:iłom:iłoś:iło:iliśmy:iliście:ili:iłyśmy:iłyście:iły:iłbym:iłbyś:iłby:iłabym:iłabyś:iłaby:iłobym:iłobyś:iłoby:ilibyśmy:ilibyście:iliby:iłybyśmy:iłybyście:iłyby:iono:iwszy:iony:;
0004;11;ł:łu:łowi:łem:le:ły:łów:łom:łami:łach:ła:;
0005;41;ać:eje:ało:ałoby:eję:ejesz:ejemy:ejecie:eją:ej:ejmy:ejcie:ałem:ałeś:ał:ałam:ałaś:ała:ałom:ałoś:aliśmy:aliście:ali:ałyśmy:ałyście:ały:ałbym:ałbyś:ałby:ałabym:ałabyś:ałaby:ałobym:ałobyś:alibyśmy:alibyście:aliby:ałybyśmy:ałybyście:ałyby:ano:;
0006;12;a:ej:ą:o:e:ych:ym:ymi:y:ie:ę:om:;
0007;10;ew:wu:wowi:wem:wie:wy:wów:wom:wami:wach:;
0008;05;na:ien:nom:nami:nach:;
0009;74;nąć:nę:niesz:nie:niemy:niecie:ną:nij:nijmy:nijcie:łem:łeś:ł:łam:łaś:ła:łom:łoś:ło:liśmy:liście:li:łyśmy:łyście:ły:łbym:łbyś:łby:łabym:łabyś:łaby:łobym:łobyś:łoby:libyśmy:libyście:liby:łybyśmy:łybyście:łyby:nięto:łszy:nąłem:nąłeś:nął:nęłam:nęłaś:nęła:nęłom:nęłoś:nęło:nęliśmy:nęliście:nęli:nęłyśmy:nęłyście:nęły:nąłbym:nąłbyś:nąłby:nęłabym:nęłabyś:nęłaby:nęłobym:nęłobyś:nęłoby:nęlibyśmy:nęlibyście:nęliby:nęłybyśmy:nęłybyście:nęłyby:nięty:nąwszy:;
0010;44;ić:ię:isz:i:imy:icie:ią::my:cie:iąc:iący:iłem:iłeś:ił:iłam:iłaś:iła:iłom:iłoś:iło:iliśmy:iliście:ili:iłyśmy:iłyście:iły:iłbym:iłbyś:iłby:iłabym:iłabyś:iłaby:iłobym:iłobyś:iłoby:ilibyśmy:ilibyście:iliby:iłybyśmy:iłybyście:iłyby:iono:iony:;
