1,17973,26309.7979,26309.56112,on,17973,26309.7979
2,12730,13154.89895,14099.00815,i,25460,
3,10826,8769.932634,9788.295683,siebie,32478,
4,7964,6577.449476,7555.488393,ten,31856,
5,7817,5261.959581,6180.786276,w,39085,
6,6337,4384.966317,5245.425646,na,38022,
7,5803,3758.542558,4565.924413,z,40621,
8,4517,3288.724738,4048.890533,być,36136,
9,4411,2923.310878,3641.655165,do,39699,
10,3813,2630.97979,3312.204335,że,38130,
11,3411,2391.799809,3039.931098,ty,37521,
12,3196,2192.483159,2810.956112,pan,38352,
13,3022,2023.830608,2615.581123,a,39286,
14,2902,1879.271279,2446.819882,który,40628,
15,2832,1753.986527,2299.509025,ć,42480,
16,2722,1644.362369,2169.747933,za,43552,
17,2632,1547.635171,2054.533623,jaka,44744,
18,1993,1461.655439,1951.515659,co,35874,
19,1986,1384.726205,1858.8274,my,37734,
20,1969,1315.489895,1774.967153,rzec,39380,
21,1904,1252.847519,1698.712806,bo,39984,
22,1865,1195.899905,1629.059406,po,41030,
23,1786,1143.904257,1565.172792,ja,41078,
24,1755,1096.241579,1506.354647,o,42120,
25,1712,1052.391916,1452.015819,ala,42800,
26,1708,1011.915304,1401.655704,Kmicic,44408,
27,1689,974.4369594,1354.846144,taka,45603,
28,1653,939.6356394,1311.21873,móc,46284,
29,1558,907.2344104,1270.454685,mieć,45182,
30,1379,876.9932634,1232.276744,już,41370,
31,1317,848.7031581,1196.442582,sam,40827,
32,1303,822.1811845,1162.739455,miąć,41696,
33,1293,797.2666031,1130.979799,oda,42669,
34,1174,773.8175854,1100.997599,wszystek,39916,
35,1133,751.7085115,1072.645365,A,39655,
36,1114,730.8277195,1045.791609,by,40104,
37,1096,711.075619,1020.31872,mój,40552,
38,1052,692.3631027,996.1211752,jeszcze,39976,
39,1022,674.6102026,973.1040174,ręka,39858,
40,1006,657.7449476,951.1815598,wiedzieć,40240,
41,1006,641.7023879,930.2762761,mówić,41246,
42,992,626.4237596,910.3178478,książę,41664,
43,988,611.8557652,891.2423419,począć,42484,
44,978,597.9499523,872.9914985,Nie,43032,
45,921,584.6621756,855.5121127,cały,41445,
46,915,571.9521283,838.7554954,oko,42090,
47,909,559.7829341,822.6770021,chcieć,42723,
48,907,548.1207896,807.2356195,Bóg,43536,
49,885,536.9346511,792.393602,tylko,43365,
50,880,526.1959581,778.1161513,pod,44000,
51,876,515.8783902,764.3711325,swój,44676,
52,869,505.957652,751.1288234,ze,45188,
53,784,496.4112812,738.3616909,koń,41552,
54,771,487.2184797,726.0441924,chwila,41634,
55,768,478.3599619,714.1525981,król,42240,
56,766,469.8178197,702.6648322,gdy,42896,
57,751,461.5754018,691.5603309,czas,42807,
58,749,453.6172052,680.8199142,tu,43442,
59,736,445.928778,670.425671,I,43424,
60,726,438.4966317,660.3608557,taki,43560,
61,722,431.3081623,650.6097937,przez,44042,
62,688,424.3515791,641.1577977,tama,42656,
63,681,417.6158397,631.99109,głowa,42903,
64,680,411.0905922,623.0967334,Wołodyjowski,43520,
65,673,404.7661216,614.4625672,przed,43745,
66,671,398.6333016,606.0771501,Zagłoba,44286,
67,671,392.6835508,597.9297074,przy,44957,
68,633,386.9087927,590.0100824,dla,43044,
69,626,381.3014189,582.3086933,wasz,43194,
70,623,375.8542558,574.8164924,inny,43610,
71,609,370.5605338,567.5249292,Pan,43239,
72,608,365.4138598,560.4259169,To,43776,
73,608,360.4081904,553.5118008,tenże,44384,
74,607,355.5378095,546.7753302,żołnierz,44918,
75,601,350.7973054,540.2096313,ów,45075,
76,598,346.1815513,533.8081837,li,45448,
77,582,341.685687,527.5647972,aby,44814,
78,581,337.3051013,521.4735913,raz,45318,
79,574,333.0354165,515.528976,kto,45346,
80,564,328.8724738,509.7256343,cie,45120,
81,563,324.8123198,504.0585048,więc,45603,
82,560,320.8511939,498.5227675,mo,45920,
83,557,316.9855169,493.1138287,szwedzki,46231,
84,555,313.2118798,487.8273082,Ala,46620,
85,540,309.5270341,482.6590269,były,45900,
86,537,305.9278826,477.6049954,wojsko,46182,
87,530,302.4114701,472.6614031,W,46110,
88,527,298.9749762,467.8246084,dzień,46376,
89,523,295.6157068,463.0911295,jeden,46547,
90,511,292.3310878,458.4576355,nad,45990,
91,510,289.1186583,453.9209382,jena,46410,
92,509,285.9760642,449.4779847,jaki,46828,
93,502,282.9010527,445.1258504,Szweda,46686,
94,499,279.891467,440.8617317,widzieć,46906,
95,493,276.9452411,436.6829406,ludzie,46835,
96,489,274.0603948,432.5868981,Na,46944,
97,487,271.2350299,428.5711288,teraz,47239,
98,475,268.4673255,424.6332563,miły,46550,
99,475,265.7555344,420.7709974,ku,47025,
100,449,263.097979,416.9821584,dwa,44900,
101,449,260.4930485,413.26463,odrzec,45349,
102,447,257.9391951,409.6163838,chorągiew,45594,
103,432,255.4349311,406.0354682,dobry,44496,
104,429,252.978826,402.5200047,wielki,44616,
105,427,250.5695038,399.0681849,uczynić,44835,
106,426,248.2056406,395.6782666,strona,45156,
107,425,245.8859617,392.3485714,twarz,45475,
108,424,243.6092398,389.0774814,pierwszy,45792,
109,421,241.3742927,385.8634367,pani,45889,
110,419,239.1799809,382.7049327,droga,46090,
111,417,237.0252063,379.6005176,szlachta,46287,
112,414,234.9089098,376.5487904,Andrzej,46368,
113,412,232.8300699,373.5483981,Radziwiłł,46556,
114,411,230.7877009,370.5980344,dać,46854,
115,410,228.7808513,367.6964372,wojna,47150,
116,409,226.8086026,364.8423867,stać,47444,
117,407,224.8700675,362.0347039,iść,47619,
118,406,222.964389,359.2722488,aż,47908,
119,406,221.0907387,356.5539188,serce,48314,
120,404,219.2483159,353.8786469,Lecz,48480,
121,401,217.4363463,351.245401,nica,48521,
122,394,215.6540812,348.6531814,u,48068,
123,394,213.900796,346.1010206,zaraza,48462,
124,392,212.1757895,343.5879814,Co,48608,
125,391,210.4783832,341.1131557,leczyć,48875,
126,380,208.8079199,338.6756636,nieprzyjaciel,47880,
127,378,207.163763,336.2746524,waćpan,48006,
128,373,205.5452961,333.9092952,własny,47744,
129,371,203.9519217,331.5787901,Czarniecki,47859,
130,370,202.3830608,329.2823594,żeby,48100,
131,366,200.8381519,327.0192485,czy,47946,
132,360,199.3166508,324.788725,głos,47520,
133,360,197.8180293,322.5900782,książęcy,47880,
134,359,196.3417754,320.4226179,beza,48106,
135,357,194.8873919,318.285674,Rzeczpospolita,48195,
136,356,193.4543963,316.1785954,nawet,48416,
137,356,192.0423205,314.1007498,iż,48772,
138,354,190.6507094,312.0515226,panna,48852,
139,350,189.2791216,310.0303166,hetman,48650,
140,349,187.9271279,308.036551,przeć,48860,
141,348,186.5943114,306.0696613,Szwed,49068,
142,345,185.2802669,304.1290985,cią,48990,
143,345,183.9846007,302.2143284,jechać,49335,
144,341,182.7069299,300.3248315,gdzie,49104,
145,339,181.4468821,298.460102,między,49155,
146,339,180.2040952,296.6196479,Oleńka,49494,
147,339,178.978217,294.8029902,ruszyć,49833,
148,337,177.7689047,293.0096622,coraz,49876,
149,334,176.5758248,291.23921,czynić,49766,
150,333,175.3986527,289.4911909,słowo,49950,
151,332,174.2370722,287.7651741,czyś,50132,
152,330,173.0907757,286.0607396,ojczyzna,50160,
153,330,171.9594634,284.3774783,jakby,50490,
154,322,170.8428435,282.7149912,ani,49588,
155,320,169.7406316,281.0728896,koniec,49600,
156,319,168.6525507,279.4507944,wojewoda,49764,
